iter	Logloss
433	0.2548846187
434	0.2548634055
435	0.2548228193
436	0.2548097722
437	0.254713752
438	0.2546433295
439	0.2545596087
440	0.254518762
441	0.2544765771
442	0.2544550909
443	0.2544170211
444	0.2543843678
445	0.2543214086
446	0.2542642525
447	0.2542530144
448	0.2542430903
449	0.2542329708
450	0.2541842923
451	0.2541403394
452	0.2540847116
453	0.2539347887
454	0.2538696732
455	0.2537892503
456	0.2537074132
457	0.2536712849
458	0.2536318041
459	0.2535843101
460	0.2535624267
461	0.2535051394
462	0.2534771849
463	0.2534308087
464	0.2533843261
465	0.253370389
466	0.2533553405
467	0.2533023372
468	0.2532348237
469	0.2532052558
470	0.2531552233
471	0.2531467377
472	0.2531112568
473	0.2531023056
474	0.2530765505
475	0.2530402652
476	0.2529543885
477	0.2528944128
478	0.2528363951
479	0.252804552
480	0.252755245
481	0.2527316154
482	0.2526960374
483	0.2526837855
484	0.2526194264
485	0.2526099107
486	0.2525245496
487	0.2525092915
488	0.2524199709
489	0.2523872735
490	0.2523446824
491	0.2523247566
492	0.2522368132
493	0.2522073283
494	0.2521119499
495	0.2520017644
496	0.2519472157
497	0.2519292155
498	0.2518648651
499	0.2518226237
